no,product_name,roast_level,grind_type,size,reference_image,online_image_url,product_page_url,new_image_filename,status,designer_notes
1,Decaf Colombia Supremo,Light Roast,Ground,10oz Bag,reference-images/10-oz-Premium-Ground-Decaf-Columbia-Supremo.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/10-oz-Premium-Ground-Decaf-Columbia-Supremo.jpg,https://jeremiahspick.com/product/decaf-colombia-supremo/,,,
2,Decaf Colombia Supremo,Light Roast,Ground,1lb Bag,reference-images/1-lb-Decaf-Colombia.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/1-lb-Decaf-Colombia.jpg,https://jeremiahspick.com/product/decaf-colombia-supremo/,,,
3,Decaf Colombia Supremo,Light Roast,Ground,5lb Bag,reference-images/5-lb-blue-orange-bags.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/5-lb-blue-orange-bags.jpg,https://jeremiahspick.com/product/decaf-colombia-supremo/,,,
4,Decaf Colombia Supremo,Light Roast,Whole Bean,10oz Bag,reference-images/10-oz-Premium-Whole-Bean-Decaf-Colombia-Supremo.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/10-oz-Premium-Whole-Bean-Decaf-Colombia-Supremo.jpg,https://jeremiahspick.com/product/decaf-colombia-supremo/,,,
5,Decaf Colombia Supremo,Light Roast,Whole Bean,1lb Bag,reference-images/1-lb-Decaf-Colombia.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/1-lb-Decaf-Colombia.jpg,https://jeremiahspick.com/product/decaf-colombia-supremo/,,,
6,Decaf Colombia Supremo,Light Roast,Whole Bean,5lb Bag,reference-images/5-lb-blue-orange-bags.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/5-lb-blue-orange-bags.jpg,https://jeremiahspick.com/product/decaf-colombia-supremo/,,,
7,Decaf Espresso,Medium Roast,Ground,10oz Bag,reference-images/10-oz-Premium-Ground-Decaf-Espresso.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/10-oz-Premium-Ground-Decaf-Espresso.jpg,https://jeremiahspick.com/product/decaf-espresso/,,,
8,Decaf Espresso,Medium Roast,Ground,1lb Bag,reference-images/1-lb-Decaf-Espresso.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/1-lb-Decaf-Espresso.jpg,https://jeremiahspick.com/product/decaf-espresso/,,,
9,Decaf Espresso,Medium Roast,Ground,5lb Bag,reference-images/5-lb-blue-orange-bags.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/5-lb-blue-orange-bags.jpg,https://jeremiahspick.com/product/decaf-espresso/,,,
10,Decaf Espresso,Medium Roast,Whole Bean,10oz Bag,reference-images/10-oz-Premium-Whole-Bean-Decaf-Espresso.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/10-oz-Premium-Whole-Bean-Decaf-Espresso.jpg,https://jeremiahspick.com/product/decaf-espresso/,,,
11,Decaf Espresso,Medium Roast,Whole Bean,1lb Bag,reference-images/1-lb-Decaf-Espresso.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/1-lb-Decaf-Espresso.jpg,https://jeremiahspick.com/product/decaf-espresso/,,,
12,Decaf Espresso,Medium Roast,Whole Bean,5lb Bag,reference-images/5-lb-blue-orange-bags.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/5-lb-blue-orange-bags.jpg,https://jeremiahspick.com/product/decaf-espresso/,,,
13,Decaf French Roast,Dark Roast,Ground,10oz Bag,reference-images/10-oz-Premium-Ground-Decaf-French-Roast.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/10-oz-Premium-Ground-Decaf-French-Roast.jpg,https://jeremiahspick.com/product/decaf-french-roast/,,,
14,Decaf French Roast,Dark Roast,Ground,1lb Bag,reference-images/1-lb-Decaf-French-Roast.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/1-lb-Decaf-French-Roast.jpg,https://jeremiahspick.com/product/decaf-french-roast/,,,
