no,product_name,roast_level,grind_type,size,reference_image,online_image_url,product_page_url,new_image_filename,status,designer_notes
1,Chocatal,Medium Roast,Ground,10oz Bag,reference-images/10-oz-Premium-Ground-Chocotal.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/10-oz-Premium-Ground-Chocotal.jpg,https://jeremiahspick.com/product/chocatal/,,,
2,Chocatal,Medium Roast,Ground,1lb Bag,reference-images/1-lb-Premium-Chocatal.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/1-lb-Premium-Chocatal.jpg,https://jeremiahspick.com/product/chocatal/,,,
3,Chocatal,Medium Roast,Ground,5lb Bag,reference-images/5-lb-blue-orange-bags.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/5-lb-blue-orange-bags.jpg,https://jeremiahspick.com/product/chocatal/,,,
4,Chocolate Raspberry,Medium Roast,Ground,10oz Bag,reference-images/10-oz-Premium-Ground-Chocolate-Raspberry.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/10-oz-Premium-Ground-Chocolate-Raspberry.jpg,https://jeremiahspick.com/product/chocolate-raspberry/,,,
5,Chocolate Raspberry,Medium Roast,Ground,1lb Bag,reference-images/1-lb-Chocolate-Raspberry.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/1-lb-Chocolate-Raspberry.jpg,https://jeremiahspick.com/product/chocolate-raspberry/,,,
6,Chocolate Raspberry,Medium Roast,Ground,5lb Bag,reference-images/5-lb-blue-orange-bags.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/5-lb-blue-orange-bags.jpg,https://jeremiahspick.com/product/chocolate-raspberry/,,,
7,Chocolate Raspberry,Medium Roast,Whole Bean,10oz Bag,reference-images/10-oz-Premium-Whole-Bean-Chocolate-Raspberry.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/10-oz-Premium-Whole-Bean-Chocolate-Raspberry.jpg,https://jeremiahspick.com/product/chocolate-raspberry/,,,
8,Chocolate Raspberry,Medium Roast,Whole Bean,1lb Bag,reference-images/1-lb-Chocolate-Raspberry.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/1-lb-Chocolate-Raspberry.jpg,https://jeremiahspick.com/product/chocolate-raspberry/,,,
9,Chocolate Raspberry,Medium Roast,Whole Bean,5lb Bag,reference-images/5-lb-blue-orange-bags.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/5-lb-blue-orange-bags.jpg,https://jeremiahspick.com/product/chocolate-raspberry/,,,
10,Cookie Dough,Medium Roast,Ground,10oz Bag,reference-images/10-oz-Premium-Ground-Cookie-Dough.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/10-oz-Premium-Ground-Cookie-Dough.jpg,https://jeremiahspick.com/product/cookie-dough/,,,
11,Cookie Dough,Medium Roast,Ground,1lb Bag,reference-images/1-lb-Cookie-Dough.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/1-lb-Cookie-Dough.jpg,https://jeremiahspick.com/product/cookie-dough/,,,
12,Cookie Dough,Medium Roast,Ground,5lb Bag,reference-images/5-lb-blue-orange-bags.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/5-lb-blue-orange-bags.jpg,https://jeremiahspick.com/product/cookie-dough/,,,
13,Cookie Dough,Medium Roast,Whole Bean,10oz Bag,reference-images/10-oz-Premium-Whole-Bean-Cookie-Dough.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/10-oz-Premium-Whole-Bean-Cookie-Dough.jpg,https://jeremiahspick.com/product/cookie-dough/,,,
