no,product_name,roast_level,grind_type,size,reference_image,online_image_url,product_page_url,new_image_filename,status,designer_notes
1,100% Pure Jamaican Blue Mountain,Light Roast,Ground,1lb Bag,reference-images/100-JAMAICAN-BLUE.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2018/11/100-JAMAICAN-BLUE.jpg,https://jeremiahspick.com/product/100-jamaican-blue-mountain/,,,
2,100% Pure Jamaican Blue Mountain,Light Roast,Whole Bean,1lb Bag,reference-images/100-JAMAICAN-BLUE-WHOLE.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2018/11/100-JAMAICAN-BLUE-WHOLE.jpg,https://jeremiahspick.com/product/100-jamaican-blue-mountain/,,,
3,100% Pure Kona,Light Roast,Ground,1lb Bag,reference-images/100-HAWAIIAN-KONA.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2018/11/100-HAWAIIAN-KONA.jpg,https://jeremiahspick.com/product/100-pure-kona/,,,
4,100% Pure Kona,Light Roast,Whole Bean,1lb Bag,reference-images/100-HAWAIIAN-KONA-WHOLE.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2018/11/100-HAWAIIAN-KONA-WHOLE.jpg,https://jeremiahspick.com/product/100-pure-kona/,,,
5,Breakfast Blend,Dark Roast,Ground,10oz Bag,reference-images/10-oz-Premium-Ground-Breakfast-Blend.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/10-oz-Premium-Ground-Breakfast-Blend.jpg,https://jeremiahspick.com/product/breakfast-blend/,,,
6,Breakfast Blend,Dark Roast,Ground,1lb Bag,reference-images/1-lb-Premium-Breakfast-Blend.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/1-lb-Premium-Breakfast-Blend.jpg,https://jeremiahspick.com/product/breakfast-blend/,,,
7,Breakfast Blend,Dark Roast,Ground,5lb Bag,reference-images/5-lb-blue-orange-bags.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/5-lb-blue-orange-bags.jpg,https://jeremiahspick.com/product/breakfast-blend/,,,
8,Breakfast Blend,Dark Roast,Whole Bean,10oz Bag,reference-images/10-oz-Premium-Whole-Bean-Breakfast-Blend.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/10-oz-Premium-Whole-Bean-Breakfast-Blend.jpg,https://jeremiahspick.com/product/breakfast-blend/,,,
9,Breakfast Blend,Dark Roast,Whole Bean,1lb Bag,reference-images/1-lb-Premium-Breakfast-Blend.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/1-lb-Premium-Breakfast-Blend.jpg,https://jeremiahspick.com/product/breakfast-blend/,,,
10,Breakfast Blend,Dark Roast,Whole Bean,5lb Bag,reference-images/5-lb-blue-orange-bags.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/5-lb-blue-orange-bags.jpg,https://jeremiahspick.com/product/breakfast-blend/,,,
11,Chocatal,Medium Roast,Ground,10oz Bag,reference-images/10-oz-Premium-Ground-Chocotal.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/10-oz-Premium-Ground-Chocotal.jpg,https://jeremiahspick.com/product/chocatal/,,,
12,Chocatal,Medium Roast,Ground,1lb Bag,reference-images/1-lb-Premium-Chocatal.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/1-lb-Premium-Chocatal.jpg,https://jeremiahspick.com/product/chocatal/,,,
13,Chocatal,Medium Roast,Ground,5lb Bag,reference-images/5-lb-blue-orange-bags.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/5-lb-blue-orange-bags.jpg,https://jeremiahspick.com/product/chocatal/,,,
14,Colombia Supremo,Light Roast,Ground,10oz Bag,reference-images/10-oz-Premium-Ground-Columbia-Supremo.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/10-oz-Premium-Ground-Columbia-Supremo.jpg,https://jeremiahspick.com/product/colombia-supremo/,,,
15,Colombia Supremo,Light Roast,Ground,1lb Bag,reference-images/1-lb-Premium-Colombia-Blend.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/1-lb-Premium-Colombia-Blend.jpg,https://jeremiahspick.com/product/colombia-supremo/,,,
16,Colombia Supremo,Light Roast,Ground,5lb Bag,reference-images/5-lb-blue-orange-bags.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/5-lb-blue-orange-bags.jpg,https://jeremiahspick.com/product/colombia-supremo/,,,
17,Colombia Supremo,Light Roast,Whole Bean,10oz Bag,reference-images/10-oz-Premium-Whole-Bean-Columbia-Supremo.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/10-oz-Premium-Whole-Bean-Columbia-Supremo.jpg,https://jeremiahspick.com/product/colombia-supremo/,,,
18,Colombia Supremo,Light Roast,Whole Bean,1lb Bag,reference-images/1-lb-Premium-Colombia-Blend.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/1-lb-Premium-Colombia-Blend.jpg,https://jeremiahspick.com/product/colombia-supremo/,,,
19,Colombia Supremo,Light Roast,Whole Bean,5lb Bag,reference-images/5-lb-blue-orange-bags.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/5-lb-blue-orange-bags.jpg,https://jeremiahspick.com/product/colombia-supremo/,,,
20,Espresso,Medium Roast,Ground,10oz Bag,reference-images/10-oz-Premium-Ground-Espresso.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/10-oz-Premium-Ground-Espresso.jpg,https://jeremiahspick.com/product/espresso/,,,
21,Espresso,Medium Roast,Ground,1lb Bag,reference-images/1-lb-Premium-Espresso.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/1-lb-Premium-Espresso.jpg,https://jeremiahspick.com/product/espresso/,,,
22,Espresso,Medium Roast,Ground,5lb Bag,reference-images/5-lb-blue-orange-bags.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/5-lb-blue-orange-bags.jpg,https://jeremiahspick.com/product/espresso/,,,
23,Espresso,Medium Roast,Whole Bean,10oz Bag,reference-images/10-oz-Premium-Whole-Bean-Espresso.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/10-oz-Premium-Whole-Bean-Espresso.jpg,https://jeremiahspick.com/product/espresso/,,,
24,Espresso,Medium Roast,Whole Bean,1lb Bag,reference-images/1-lb-Premium-Espresso.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/1-lb-Premium-Espresso.jpg,https://jeremiahspick.com/product/espresso/,,,
25,Espresso,Medium Roast,Whole Bean,5lb Bag,reference-images/5-lb-blue-orange-bags.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/5-lb-blue-orange-bags.jpg,https://jeremiahspick.com/product/espresso/,,,
26,Ethiopia Utopia,Medium Roast,Ground,10oz Bag,reference-images/10-oz-Single-Origin-Ground-Ethiopia-Utopia.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/10-oz-Single-Origin-Ground-Ethiopia-Utopia.jpg,https://jeremiahspick.com/product/ethiopia-utopia/,,,
27,Ethiopia Utopia,Medium Roast,Ground,1lb Bag,reference-images/1-lb-Ethiopia-Utopia.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/1-lb-Ethiopia-Utopia.jpg,https://jeremiahspick.com/product/ethiopia-utopia/,,,
28,Ethiopia Utopia,Medium Roast,Ground,5lb Bag,reference-images/5-lb-blue-orange-bags.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/5-lb-blue-orange-bags.jpg,https://jeremiahspick.com/product/ethiopia-utopia/,,,
29,Ethiopia Utopia,Medium Roast,Whole Bean,10oz Bag,reference-images/10-oz-Premium-Whole-Bean-Single-Origin-Ethiopia-Utopia.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/10-oz-Premium-Whole-Bean-Single-Origin-Ethiopia-Utopia.jpg,https://jeremiahspick.com/product/ethiopia-utopia/,,,
30,Ethiopia Utopia,Medium Roast,Whole Bean,1lb Bag,reference-images/1-lb-Ethiopia-Utopia.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/1-lb-Ethiopia-Utopia.jpg,https://jeremiahspick.com/product/ethiopia-utopia/,,,
31,Ethiopia Utopia,Medium Roast,Whole Bean,5lb Bag,reference-images/5-lb-blue-orange-bags.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/5-lb-blue-orange-bags.jpg,https://jeremiahspick.com/product/ethiopia-utopia/,,,
32,French Roast,Dark Roast,Ground,10oz Bag,reference-images/10-oz-Premium-Ground-French-Roast-Premium.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/10-oz-Premium-Ground-French-Roast-Premium.jpg,https://jeremiahspick.com/product/french-roast/,,,
33,French Roast,Dark Roast,Ground,1lb Bag,reference-images/1-lb-Premium-French-Roast.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/1-lb-Premium-French-Roast.jpg,https://jeremiahspick.com/product/french-roast/,,,
34,French Roast,Dark Roast,Ground,5lb Bag,reference-images/5-lb-blue-orange-bags.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/5-lb-blue-orange-bags.jpg,https://jeremiahspick.com/product/french-roast/,,,
35,French Roast,Dark Roast,Whole Bean,10oz Bag,reference-images/10-oz-Premium-Whole-Bean-French-Roast-Premium.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/10-oz-Premium-Whole-Bean-French-Roast-Premium.jpg,https://jeremiahspick.com/product/french-roast/,,,
36,French Roast,Dark Roast,Whole Bean,1lb Bag,reference-images/1-lb-Premium-French-Roast.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/1-lb-Premium-French-Roast.jpg,https://jeremiahspick.com/product/french-roast/,,,
37,French Roast,Dark Roast,Whole Bean,5lb Bag,reference-images/5-lb-blue-orange-bags.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/5-lb-blue-orange-bags.jpg,https://jeremiahspick.com/product/french-roast/,,,
38,Guatemala,Dark Roast,Ground,10oz Bag,reference-images/10-oz-Single-Origin-Ground-Guatemala-Oriente.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/10-oz-Single-Origin-Ground-Guatemala-Oriente.jpg,https://jeremiahspick.com/product/guatemala/,,,
39,Guatemala,Dark Roast,Ground,1lb Bag,reference-images/1-lb-Premium-Guatemala-Oriente.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/1-lb-Premium-Guatemala-Oriente.jpg,https://jeremiahspick.com/product/guatemala/,,,
40,Guatemala,Dark Roast,Ground,5lb Bag,reference-images/5-lb-blue-orange-bags.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/5-lb-blue-orange-bags.jpg,https://jeremiahspick.com/product/guatemala/,,,
41,Guatemala,Dark Roast,Whole Bean,10oz Bag,reference-images/10-oz-Premium-Whole-Bean-Single-Origin-Guatemala-Oriente.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/10-oz-Premium-Whole-Bean-Single-Origin-Guatemala-Oriente.jpg,https://jeremiahspick.com/product/guatemala/,,,
42,Guatemala,Dark Roast,Whole Bean,1lb Bag,reference-images/1-lb-Premium-Guatemala-Oriente.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/1-lb-Premium-Guatemala-Oriente.jpg,https://jeremiahspick.com/product/guatemala/,,,
43,Guatemala,Dark Roast,Whole Bean,5lb Bag,reference-images/5-lb-blue-orange-bags.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/5-lb-blue-orange-bags.jpg,https://jeremiahspick.com/product/guatemala/,,,
44,Italian Roast,Dark Roast,Ground,10oz Bag,reference-images/10-oz-Premium-Ground-Italian-Roast.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/10-oz-Premium-Ground-Italian-Roast.jpg,https://jeremiahspick.com/product/italian-roast/,,,
45,Italian Roast,Dark Roast,Ground,1lb Bag,reference-images/1-lb-Premium-Dark-Italian.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/1-lb-Premium-Dark-Italian.jpg,https://jeremiahspick.com/product/italian-roast/,,,
46,Italian Roast,Dark Roast,Ground,5lb Bag,reference-images/5-lb-blue-orange-bags.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/5-lb-blue-orange-bags.jpg,https://jeremiahspick.com/product/italian-roast/,,,
47,Italian Roast,Dark Roast,Whole Bean,10oz Bag,reference-images/10-oz-Premium-Whole-Bean-Italian-Roast.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/10-oz-Premium-Whole-Bean-Italian-Roast.jpg,https://jeremiahspick.com/product/italian-roast/,,,
48,Italian Roast,Dark Roast,Whole Bean,1lb Bag,reference-images/1-lb-Premium-Dark-Italian.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/1-lb-Premium-Dark-Italian.jpg,https://jeremiahspick.com/product/italian-roast/,,,
49,Italian Roast,Dark Roast,Whole Bean,5lb Bag,reference-images/5-lb-blue-orange-bags.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/5-lb-blue-orange-bags.jpg,https://jeremiahspick.com/product/italian-roast/,,,
50,Jamaican Blue Mountain,Light Roast,Ground,10oz Bag,reference-images/10-oz-Premium-Ground-Jamaican-Blue-Mountain-Blend.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/10-oz-Premium-Ground-Jamaican-Blue-Mountain-Blend.jpg,https://jeremiahspick.com/product/jamaican-blue-mountain/,,,
51,Jamaican Blue Mountain,Light Roast,Ground,1lb Bag,reference-images/1-lb-Premium-Jamaican-Blue-Mountain-Blend.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/1-lb-Premium-Jamaican-Blue-Mountain-Blend.jpg,https://jeremiahspick.com/product/jamaican-blue-mountain/,,,
