no,product_name,roast_level,grind_type,size,reference_image,online_image_url,product_page_url,new_image_filename,status,designer_notes
1,100% Pure Jamaican Blue Mountain,Light Roast,Ground,1lb Bag,reference-images/100-JAMAICAN-BLUE.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2018/11/100-JAMAICAN-BLUE.jpg,https://jeremiahspick.com/product/100-jamaican-blue-mountain/,,,
2,100% Pure Jamaican Blue Mountain,Light Roast,Whole Bean,1lb Bag,reference-images/100-JAMAICAN-BLUE-WHOLE.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2018/11/100-JAMAICAN-BLUE-WHOLE.jpg,https://jeremiahspick.com/product/100-jamaican-blue-mountain/,,,
3,100% Pure Kona,Light Roast,Ground,1lb Bag,reference-images/100-HAWAIIAN-KONA.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2018/11/100-HAWAIIAN-KONA.jpg,https://jeremiahspick.com/product/100-pure-kona/,,,
4,100% Pure Kona,Light Roast,Whole Bean,1lb Bag,reference-images/100-HAWAIIAN-KONA-WHOLE.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2018/11/100-HAWAIIAN-KONA-WHOLE.jpg,https://jeremiahspick.com/product/100-pure-kona/,,,
5,Ethiopia Sidamo,Medium Roast,Whole Bean,12oz Jar,reference-images/JAR-ETHIOPIA-SIDAMO-NENSEBO-MEDIUM-ROAST.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2018/07/JAR-ETHIOPIA-SIDAMO-NENSEBO-MEDIUM-ROAST.jpg,https://jeremiahspick.com/product/ethiopia-sidamo/,,,
6,Ethiopia Utopia,Medium Roast,Ground,10oz Bag,reference-images/10-oz-Single-Origin-Ground-Ethiopia-Utopia.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/10-oz-Single-Origin-Ground-Ethiopia-Utopia.jpg,https://jeremiahspick.com/product/ethiopia-utopia/,,,
7,Ethiopia Utopia,Medium Roast,Ground,1lb Bag,reference-images/1-lb-Ethiopia-Utopia.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/1-lb-Ethiopia-Utopia.jpg,https://jeremiahspick.com/product/ethiopia-utopia/,,,
8,Ethiopia Utopia,Medium Roast,Ground,5lb Bag,reference-images/5-lb-blue-orange-bags.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/5-lb-blue-orange-bags.jpg,https://jeremiahspick.com/product/ethiopia-utopia/,,,
9,Ethiopia Utopia,Medium Roast,Whole Bean,10oz Bag,reference-images/10-oz-Premium-Whole-Bean-Single-Origin-Ethiopia-Utopia.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/10-oz-Premium-Whole-Bean-Single-Origin-Ethiopia-Utopia.jpg,https://jeremiahspick.com/product/ethiopia-utopia/,,,
10,Ethiopia Utopia,Medium Roast,Whole Bean,1lb Bag,reference-images/1-lb-Ethiopia-Utopia.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/1-lb-Ethiopia-Utopia.jpg,https://jeremiahspick.com/product/ethiopia-utopia/,,,
11,Ethiopia Utopia,Medium Roast,Whole Bean,5lb Bag,reference-images/5-lb-blue-orange-bags.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/5-lb-blue-orange-bags.jpg,https://jeremiahspick.com/product/ethiopia-utopia/,,,
12,Guatemala,Dark Roast,Ground,10oz Bag,reference-images/10-oz-Single-Origin-Ground-Guatemala-Oriente.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/10-oz-Single-Origin-Ground-Guatemala-Oriente.jpg,https://jeremiahspick.com/product/guatemala/,,,
13,Guatemala,Dark Roast,Ground,1lb Bag,reference-images/1-lb-Premium-Guatemala-Oriente.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/1-lb-Premium-Guatemala-Oriente.jpg,https://jeremiahspick.com/product/guatemala/,,,
14,Guatemala,Dark Roast,Ground,5lb Bag,reference-images/5-lb-blue-orange-bags.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/5-lb-blue-orange-bags.jpg,https://jeremiahspick.com/product/guatemala/,,,
15,Guatemala,Dark Roast,Whole Bean,10oz Bag,reference-images/10-oz-Premium-Whole-Bean-Single-Origin-Guatemala-Oriente.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/10-oz-Premium-Whole-Bean-Single-Origin-Guatemala-Oriente.jpg,https://jeremiahspick.com/product/guatemala/,,,
16,Guatemala,Dark Roast,Whole Bean,1lb Bag,reference-images/1-lb-Premium-Guatemala-Oriente.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/1-lb-Premium-Guatemala-Oriente.jpg,https://jeremiahspick.com/product/guatemala/,,,
17,Guatemala,Dark Roast,Whole Bean,5lb Bag,reference-images/5-lb-blue-orange-bags.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/5-lb-blue-orange-bags.jpg,https://jeremiahspick.com/product/guatemala/,,,
18,Pick of the Harvest: Organic Chanchamayo Peru,,Ground,10 oz. Bag,reference-images/1-lb-Pick-of-the-Harvest-Chanchamayo.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2018/07/1-lb-Pick-of-the-Harvest-Chanchamayo.jpg,https://jeremiahspick.com/product/organic-chancamayo/,,,
19,Pick of the Harvest: Organic Chanchamayo Peru,,Ground,1 lb. Bag,reference-images/1-lb-Pick-of-the-Harvest-Chanchamayo.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2018/07/1-lb-Pick-of-the-Harvest-Chanchamayo.jpg,https://jeremiahspick.com/product/organic-chancamayo/,,,
20,Pick of the Harvest: Organic Chanchamayo Peru,,Ground,5 lb. Bag,reference-images/1-lb-Pick-of-the-Harvest-Chanchamayo.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2018/07/1-lb-Pick-of-the-Harvest-Chanchamayo.jpg,https://jeremiahspick.com/product/organic-chancamayo/,,,
21,Pick of the Harvest: Organic Chanchamayo Peru,,Whole Beans,10 oz. Bag,reference-images/1-lb-Pick-of-the-Harvest-Chanchamayo.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2018/07/1-lb-Pick-of-the-Harvest-Chanchamayo.jpg,https://jeremiahspick.com/product/organic-chancamayo/,,,
22,Pick of the Harvest: Organic Chanchamayo Peru,,Whole Beans,1 lb. Bag,reference-images/1-lb-Pick-of-the-Harvest-Chanchamayo.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2018/07/1-lb-Pick-of-the-Harvest-Chanchamayo.jpg,https://jeremiahspick.com/product/organic-chancamayo/,,,
23,Pick of the Harvest: Organic Chanchamayo Peru,,Whole Beans,5 lb. Bag,reference-images/1-lb-Pick-of-the-Harvest-Chanchamayo.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2018/07/1-lb-Pick-of-the-Harvest-Chanchamayo.jpg,https://jeremiahspick.com/product/organic-chancamayo/,,,
24,Pick of the Harvest: Organic Maria Elena Sol,,Whole Bean,1lb Bag,reference-images/PICK-OF-THE-HARVEST-ORGANIC-MARIA-ELENA-SOL-1-LB.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2018/07/PICK-OF-THE-HARVEST-ORGANIC-MARIA-ELENA-SOL-1-LB.jpg,https://jeremiahspick.com/product/pick-of-the-harvest-organic-maria-elena-sol/,,,
25,Pick of the Harvest: Organic San Juan Intibuca,,Whole Bean,1lb Bag,reference-images/1-lb-Pick-of-the-Harvest-San-Juan.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/1-lb-Pick-of-the-Harvest-San-Juan.jpg,https://jeremiahspick.com/product/pick-of-the-harvest-organic-san-juan-intibuca/,,,
26,Pick of the Harvest: Organic Santa Rosa,,Whole Bean,1lb Bag,reference-images/1-lb-Pick-of-the-Harvest-Organic-Santa-Rosa.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/1-lb-Pick-of-the-Harvest-Organic-Santa-Rosa.jpg,https://jeremiahspick.com/product/pick-of-the-harvest-organic-santa-rosa/,,,
27,Pick of the Harvest: Organic Sierra Madre de Chiapas,,Whole Bean,1lb Bag,reference-images/1-lb-Pick-of-the-Harvest-Organic-Sierra-Madre.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/1-lb-Pick-of-the-Harvest-Organic-Sierra-Madre.jpg,https://jeremiahspick.com/product/pick-of-the-harvest-organic-sierra-madre/,,,
28,Pick of the Harvest: Organic Veracruz,,Whole Bean,1lb Bag,reference-images/1-lb-Pick-of-the-Harvest-Organic-Vera-Cruz.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/1-lb-Pick-of-the-Harvest-Organic-Vera-Cruz.jpg,https://jeremiahspick.com/product/pick-of-the-harvest-organic-veracruz/,,,
29,Pick of the Harvest: Organic Vilcabamba,,Whole Bean,1lb Bag,reference-images/1-lb-Pick-of-the-Harvest-Vilcabamba.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/1-lb-Pick-of-the-Harvest-Vilcabamba.jpg,https://jeremiahspick.com/product/pick-of-the-harvest-organic-vilcabamba/,,,
30,Sumatra Mandheling,Dark Roast,Ground,10oz Bag,reference-images/10-oz-Single-Origin-Ground-Sumatra-Mandheling.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/10-oz-Single-Origin-Ground-Sumatra-Mandheling.jpg,https://jeremiahspick.com/product/sumatra-mandheling/,,,
31,Sumatra Mandheling,Dark Roast,Ground,1lb Bag,reference-images/1-lb-Premium-Sumatra.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/1-lb-Premium-Sumatra.jpg,https://jeremiahspick.com/product/sumatra-mandheling/,,,
32,Sumatra Mandheling,Dark Roast,Ground,5lb Bag,reference-images/5-lb-blue-orange-bags.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/5-lb-blue-orange-bags.jpg,https://jeremiahspick.com/product/sumatra-mandheling/,,,
33,Sumatra Mandheling,Dark Roast,Whole Bean,10oz Bag,reference-images/10-oz-Premium-Whole-Bean-Single-Origin-Sumatra-Mandheling.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/10-oz-Premium-Whole-Bean-Single-Origin-Sumatra-Mandheling.jpg,https://jeremiahspick.com/product/sumatra-mandheling/,,,
34,Sumatra Mandheling,Dark Roast,Whole Bean,1lb Bag,reference-images/1-lb-Premium-Sumatra.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/1-lb-Premium-Sumatra.jpg,https://jeremiahspick.com/product/sumatra-mandheling/,,,
35,Sumatra Mandheling,Dark Roast,Whole Bean,5lb Bag,reference-images/5-lb-blue-orange-bags.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2021/09/5-lb-blue-orange-bags.jpg,https://jeremiahspick.com/product/sumatra-mandheling/,,,
36,Tanzania Peaberry,Medium Roast,Whole Bean,12oz Jar,reference-images/JAR-TANZANIA-PEABERRY-MEDIUM-ROAST.jpg,https://s3-us-west-1.amazonaws.com/jeremiahspick/wp-media-folder-media/wp-content/uploads/2018/07/JAR-TANZANIA-PEABERRY-MEDIUM-ROAST.jpg,https://jeremiahspick.com/product/tanzania-peaberry/,,,
